timestamp_utc,url,headline,location,status,rent_kr_per_month,rooms,sqm



2025-12-30T22:26:58.525573+00:00,https://kerebyudlejning.dk/bolig/drogdensgade-5-1-tv-2300-kobenhavn-s,3-værelses lejlighed på Amager,"Drogdensgade 5, 1. tv 2300
      København S",Reserveret,10176,3,64
2025-12-30T22:26:58.525573+00:00,https://kerebyudlejning.dk/bolig/norrebrogade-223-3-tv-2200-kobenhavn-n,4-værelses lejlighed på Nørrebro,"Nørrebrogade 223, 3. tv 2200
      København N",Reserveret,13889,4,88
2025-12-30T22:26:58.525573+00:00,https://kerebyudlejning.dk/bolig/sankt-jorgens-alle-2-5-tv-1615-kobenhavn-v,Lys 2. vær. tæt på Søerne.,"Sankt Jørgens Allé 2, 5. tv 1615
      København V",Reserveret,16958,3,74
2025-12-30T22:26:58.525573+00:00,https://kerebyudlejning.dk/bolig/sankt-hans-torv-32-5-tv-2200-kobenhavn-n,4-værelses lejlighed på Nørrebro,"Sankt Hans Torv 32, 5. tv 2200
      København N",Reserveret,23864,4,157
2025-12-30T22:36:58.609187+00:00,https://kerebyudlejning.dk/bolig/sundbyvester-plads-1-3-th-2300-kobenhavn-s,3-værelses lejlighed på Amager,"Sundbyvester Plads 1, 3. th 2300
      København S",Reserveret,10352,3,67



2025-12-30T22:50:45.337844+00:00,https://kerebyudlejning.dk/bolig/griffenfeldsgade-6-1-th-2200-kobenhavn-n,3-værelses lejlighed på Nørrebro,"Griffenfeldsgade 6, 1. th 2200
      København N",Reserveret,21000,3,105

2025-12-30T23:20:27.857350+00:00,https://kerebyudlejning.dk/bolig/gersonsvej-55-kl-2900-hellerup,3-værelses lejlighed i Hellerup,"Gersonsvej 55, kl. 2900
      Hellerup",Udlejet,15452,3,99
2026-01-02T11:28:53.947029+00:00,https://kerebyudlejning.dk/bolig/sankt-jorgens-alle-2-st-tv-1615-kobenhavn-v,3-værelses lejlighed på Vesterbro,"Sankt Jørgens Allé 2, st. tv 1615
      København V",,16800,3,84
2026-01-05T10:51:40.002426+00:00,https://kerebyudlejning.dk/bolig/longangstrade-37a-5-th-1468-kobenhavn-k,4-værelses lejlighed i København K,"Løngangstræde 37A, 5. th 1468
      København K",Reserveret,15704,4,96
2026-01-05T13:45:53.526854+00:00,https://kerebyudlejning.dk/bolig/molle-alle-21-3-tv-2500-valby,God 4 vær. i Valby,"Mølle Allé 21, 3. tv 2500
      Valby",Reserveret,13024,4,83
2026-01-06T10:45:21.075249+00:00,https://kerebyudlejning.dk/bolig/bjelkes-alle-18-3-th-2200-kobenhavn-n,2-værelses lejlighed på Nørrebro,"Bjelkes Allé 18, 3. th 2200
      København N",,7709,2,49
2026-01-07T14:40:06.756790+00:00,https://kerebyudlejning.dk/bolig/vester-voldgade-90-4-tv-1552-kobenhavn-v,Lys 8 vær. i København K,"Vester Voldgade 90, 4. tv 1552
      København V",,39751,8,243
2026-01-07T14:40:06.756790+00:00,https://kerebyudlejning.dk/bolig/gammel-kongevej-138a-2-th-1850-frederiksberg,6-værelses lejlighed på Frederiksberg (Familiebolig),"Gammel Kongevej 138A, 2. th 1850
      Frederiksberg C",,29136,6,195
